Customer_Code,Customer_Name,Email_Address,Phone_Number,Registration_Date,City,Credit_Score,Membership_Status
CUST0046,User 46,user46@example.com,9473075766,2025-08-06,Chennai,447,Pending
CUST0047,User 47,user47@example.com,9562014529,2025-10-11,Bangalore,610,Inactive
CUST0048,User 48,user48@example.com,9322511513,2025-01-21,Chennai,473,Pending
CUST0050,User 50,user50@example.com,9533734535,2025-08-17,Delhi,693,Active
CUST0051,User 51,user51@example.com,9372422503,2025-08-13,Mumbai,749,Pending
CUST0052,User 52,user52@example.com,9633979604,2025-04-02,Delhi,646,Active
CUST0053,User 53,user53@example.com,9900702423,2025-01-16,Mumbai,775,Pending
CUST0055,User 55,user55@example.com,9172784196,2025-07-02,Hyderabad,741,Inactive
CUST0057,User 57,user57@example.com,9857100855,2025-10-18,Mumbai,614,Active
CUST0058,User 58,user58@example.com,9238236389,2025-01-08,Bangalore,825,Active
CUST0060,User 60,user60@example.com,9620977898,2025-03-11,Bangalore,391,Active
CUST0061,User 61,user61@example.com,9264253228,2025-11-26,Delhi,579,Inactive
CUST0062,User 62,user62@example.com,9300553072,2025-07-28,Mumbai,684,Inactive
CUST0063,User 63,user63@example.com,9447842210,2025-10-11,Delhi,658,Pending
CUST0064,User 64,user64@example.com,9389260670,2025-08-01,Mumbai,672,Inactive
CUST0065,User 65,user65@example.com,9702575316,2025-02-28,Delhi,357,Inactive
CUST0066,User 66,user66@example.com,9298569158,2025-11-08,Delhi,873,Inactive
CUST0067,User 67,user67@example.com,9313532369,2025-04-02,Chennai,828,Active
CUST0069,User 69,user69@example.com,9258602179,2025-05-09,Delhi,491,Inactive
CUST0072,User 72,user72@example.com,9372075224,2025-06-18,Bangalore,329,Inactive
CUST0073,User 73,user73@example.com,9333003161,2025-03-06,Mumbai,850,Active
CUST0074,User 74,user74@example.com,9603503703,2025-04-24,Delhi,647,Inactive
CUST0075,User 75,user75@example.com,9676384777,2025-04-14,Delhi,427,Active
CUST0076,User 76,user76@example.com,9674057515,2025-10-07,Mumbai,341,Inactive
CUST0077,User 77,user77@example.com,9692928960,2025-07-13,Bangalore,549,Inactive
CUST0078,User 78,user78@example.com,9928174425,2025-11-13,Bangalore,573,Inactive
CUST0080,User 80,user80@example.com,9631024456,2025-10-13,Delhi,753,Inactive
CUST0081,User 81,user81@example.com,9420009557,2025-07-01,Delhi,755,Pending
CUST0082,User 82,user82@example.com,9170827533,2025-01-23,Hyderabad,873,Inactive
CUST0083,User 83,user83@example.com,9970986300,2025-02-26,Delhi,740,Pending
CUST0084,User 84,user84@example.com,9843975243,2025-03-27,Chennai,594,Pending
CUST0085,User 85,user85@example.com,9251766454,2025-07-23,Delhi,608,Pending
CUST0086,User 86,user86@example.com,9142253137,2025-12-21,Bangalore,652,Active
CUST0088,User 88,user88@example.com,9176060618,2025-01-06,Bangalore,588,Inactive
CUST0089,User 89,user89@example.com,9581054859,2025-02-08,Mumbai,804,Inactive
CUST0090,User 90,user90@example.com,9395465501,2025-06-11,Bangalore,353,Inactive
CUST0091,User 91,user91@example.com,9296906111,2025-04-07,Hyderabad,651,Pending
CUST0094,User 94,user94@example.com,9876928474,2025-02-11,Delhi,559,Active
CUST0095,User 95,user95@example.com,9104280726,2025-10-11,Hyderabad,875,Inactive
CUST0097,User 97,user97@example.com,9742340561,2025-07-27,Bangalore,528,Pending
CUST0098,User 98,user98@example.com,9344037992,2025-02-25,Delhi,439,Pending
CUST0100,User 100,user100@example.com,9123163155,2025-01-28,Hyderabad,317,Pending
